slno,state,confirm,cured,death,total
1,Andaman and Nicobar Islands,10763,10622,129,21514
2,Andhra Pradesh,2339708,2324674,14733,4679115
3,Arunachal Pradesh,66894,66596,296,133786
4,Assam,746112,738070,8035,1492217
5,Bihar,851949,839328,12304,1703581
6,Chandigarh,99897,98473,1184,199554
7,Chhattisgarh,1179672,1164124,14153,2357949
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,23184
9,Delhi,2020197,1989331,26555,4036083
10,Goa*,261464,256760,4014,522238
11,Gujarat,1286696,1273410,11066,2571172
12,Haryana,1063399,1049446,10720,2123565
13,Himachal Pradesh,318512,312139,4229,634880
14,Jammu and Kashmir,480746,475271,4789,960806
15,Jharkhand,442817,437334,5332,885483
16,Karnataka,4081455,4039350,40333,8161138
17,Kerala***,6863603,6773259,71685,13708547
18,Ladakh,29525,29266,231,59022
19,Lakshadweep,11415,11363,52,22830
20,Madhya Pradesh,1055546,1044501,10779,2110826
21,Maharashtra,8154529,8000126,148475,16303130
22,Manipur,139942,137783,2149,279874
23,Meghalaya,96811,95173,1625,193609
24,Mizoram,238974,238243,726,477943
25,Nagaland,35992,35207,782,71981
26,Odisha,1338672,1328117,9207,2675996
27,Puducherry,176793,174300,1978,353071
28,Punjab**,788038,766311,19302,1573651
29,Rajasthan,1318209,1306768,9677,2634654
30,Sikkim,44476,43903,500,88879
31,Tamil Nadu,3601199,3560269,38054,7199522
32,Telangana,842901,838543,4111,1685555
33,Tripura,108037,107094,940,216071
34,Uttarakhand,450398,442356,7759,900513
35,Uttar Pradesh,2132815,2106582,23654,4263051
36,West Bengal,2119554,2097531,21533,4238618
